OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
nan	0.0611069	1e-07	1e-07	0.00241394
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
1e-07	1e-07	1e-07	nan	1e-07
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
1e-07	1e-07	1e-07	nan	1e-07
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
0.0118876	1e-07	1e-07	1e-07	nan
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
1e-07	nan	0.0625342	1e-07	1e-07
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
nan	1e-07	0.0733554	1e-07	1e-07
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
nan	1e-07	1e-07	1e-07	0.015377100000000001
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
1e-07	1e-07	nan	0.0101366	1e-07
OG0000886.24	OG0000001.1420	OG0000042.23	OG0017858.0	OG0002007.0
1e-07	1e-07	1e-07	nan	1e-07
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24	OG0021460.0
1e-07	1e-07	1e-07	1e-07	nan
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
1e-07	1e-07	1e-07	0.05813009999999999	nan
OG0002077.0	OG0007293.0	OG0000032.252	OG0000854.30	OG0000677.1
1e-07	nan	1e-07	1e-07	1e-07
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
1e-07	nan	1e-07	1e-07	1e-07
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
1e-07	1e-07	1e-07	nan	1e-07
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1	OG0010880.0
1e-07	0.0118876	1e-07	1e-07	nan
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
nan	1e-07	0.015377100000000001	1e-07	1e-07
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0	OG0006773.2
1e-07	1e-07	1e-07	1e-07	nan
OG0000010.475	OG0000501.29	OG0013950.6	OG0001886.0	OG0001172.24
1e-07	1e-07	nan	1e-07	1e-07
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
1e-07	nan	1e-07	1e-07	1e-07
OG0001228.1	OG0001150.24	OG0018392.0	OG0000892.1	OG0000082.1
1e-07	1e-07	nan	1e-07	0.05813009999999999
OG0002066.0	OG0011886.0	OG0001162.22	OG0000082.1	OG0001102.24
1e-07	nan	1e-07	0.05813009999999999	1e-07
OG0002186.0	OG0001090.26	OG0008230.0	OG0000082.1	OG0001073.24
1e-07	1e-07	nan	0.05813009999999999	1e-07
OG0000620.56	OG0001546.1	OG0001519.24	OG0012705.8	OG0000012.918
1e-07	1e-07	1e-07	nan	0.00988241
OG0000010.475	OG0001023.7	OG0014661.1	OG0001236.24	OG0001156.1
1e-07	1e-07	nan	1e-07	1e-07
OG0001299.24	OG0000002.1788	OG0000704.0	OG0017978.2	OG0001959.2
1e-07	1e-07	1e-07	nan	1e-07
OG0013202.0	OG0000011.1	OG0001303.26	OG0001408.24	OG0001434.24
nan	1e-07	1e-07	1e-07	1e-07
OG0000479.1	OG0000038.0	OG0000728.24	OG0001235.24	OG0014687.1
1e-07	0.015377100000000001	1e-07	1e-07	nan
OG0001061.24	OG0014593.0	OG0002128.0	OG0000964.2	OG0000006.561
1e-07	nan	1e-07	1e-07	0.00745715
OG0000797.20	OG0000038.0	OG0000954.24	OG0013173.1	OG0002153.0
0.0185863	0.015377100000000001	1e-07	nan	1e-07
OG0000007.976	OG0000830.1	OG0015387.0	OG0002087.0	OG0001123.1
1e-07	1e-07	nan	1e-07	1e-07
OG0001408.24	OG0021967.0	OG0000038.0	OG0001737.0	OG0001180.24
1e-07	nan	0.015377100000000001	1e-07	1e-07
OG0001334.24	OG0001935.0	OG0000038.0	OG0001866.0	OG0007320.10
1e-07	1e-07	0.015377100000000001	1e-07	nan
OG0000372.92	OG0001937.2	OG0000026.45	OG0010528.1	OG0001335.24
1e-07	1e-07	0.0118876	nan	1e-07
OG0002211.0	OG0002048.0	OG0001593.20	OG0010676.1	OG0000006.561
1e-07	1e-07	1e-07	nan	0.00745715
OG0000007.976	OG0001921.0	OG0000149.1	OG0001423.30	OG0002023.0
1e-07	1e-07	nan	1e-07	1e-07
OG0009269.4	OG0001256.24	OG0000082.1	OG0002082.0	OG0001849.0
nan	1e-07	0.05813009999999999	1e-07	1e-07
OG0001363.24	OG0008282.0	OG0000428.54	OG0000038.0	OG0002243.0
1e-07	nan	1e-07	0.015377100000000001	1e-07
OG0000011.1	OG0001216.24	OG0001221.1	OG0021380.0	OG0001878.2
1e-07	1e-07	1e-07	nan	0.015247899999999998
OG0000007.976	OG0001214.2	OG0002054.0	OG0002039.0	OG0015982.2
1e-07	0.0491681	1e-07	1e-07	nan
OG0000007.976	OG0013470.1	OG0001238.24	OG0001062.24	OG0001849.0
1e-07	nan	1e-07	1e-07	1e-07
OG0022253.0	OG0000002.1788	OG0001078.24	OG0001832.1	OG0001428.1
nan	1e-07	1e-07	1e-07	1e-07
OG0007301.2	OG0001870.2	OG0001082.24	OG0000617.25	OG0000018.289
nan	1e-07	1e-07	1e-07	1e-07
OG0001345.24	OG0014592.0	OG0000886.24	OG0002158.0	OG0000026.45
1e-07	nan	1e-07	1e-07	0.0118876
OG0000704.0	OG0001166.24	OG0008079.18	OG0001450.26	OG0000056.0
1e-07	1e-07	nan	1e-07	1e-07
OG0000713.24	OG0000522.0	OG0000018.289	OG0002321.0	OG0019431.0
1e-07	0.014519299999999999	1e-07	1e-07	nan
OG0002121.0	OG0001330.24	OG0000615.1	OG0000006.561	OG0014747.1
1e-07	1e-07	1e-07	0.00745715	nan
OG0000847.24	OG0001382.24	OG0000010.475	OG0016099.0	OG0001290.24
0.0122875	1e-07	1e-07	nan	1e-07
OG0002146.0	OG0008756.0	OG0001080.1	OG0001880.0	OG0000032.252
1e-07	nan	1e-07	1e-07	1e-07
OG0000007.976	OG0007857.4	OG0002129.0	OG0001182.24	OG0002218.0
1e-07	nan	1e-07	1e-07	1e-07
OG0000165.172	OG0014175.6	OG0001298.24	OG0000018.289	OG0001253.24
1e-07	nan	1e-07	1e-07	1e-07
OG0002035.0	OG0011970.0	OG0000834.30	OG0000082.1	OG0000925.1
1e-07	nan	1e-07	0.05813009999999999	0.015247899999999998
OG0001079.1	OG0020461.0	OG0002243.0	OG0000082.1	OG0001304.24
1e-07	nan	1e-07	0.05813009999999999	1e-07
OG0002150.0	OG0001403.24	OG0000846.25	OG0009043.0	OG0000032.252
1e-07	1e-07	1e-07	nan	1e-07
OG0002045.0	OG0005270.34	OG0000848.32	OG0000026.45	OG0001629.5
1e-07	nan	1e-07	0.0118876	0.0207296
OG0001413.1	OG0000010.475	OG0001403.24	OG0001492.24	OG0008059.4
1e-07	1e-07	1e-07	1e-07	nan
OG0001386.24	OG0000038.0	OG0002116.0	OG0016764.0	OG0000661.3
1e-07	0.015377100000000001	1e-07	nan	0.03956319999999999
OG0000007.976	OG0001176.24	OG0000236.122	OG0012651.6	OG0001180.24
1e-07	1e-07	0.0385336	nan	1e-07
OG0007769.0	OG0001059.24	OG0000977.1	OG0000032.252	OG0001164.24
nan	1e-07	1e-07	1e-07	1e-07
OG0001278.2	OG0000011.1	OG0000863.32	OG0002037.0	OG0012194.0
1e-07	1e-07	1e-07	1e-07	nan
OG0001546.1	OG0001495.2	OG0000026.45	OG0002013.0	OG0018965.0
1e-07	1e-07	0.0118876	1e-07	nan
OG0000732.24	OG0000983.28	OG0013872.4	OG0001271.1	OG0000018.289
1e-07	1e-07	nan	1e-07	1e-07
OG0001292.1	OG0000002.1788	OG0001853.0	OG0001132.24	OG0013603.0
1e-07	1e-07	0.0171954	1e-07	nan
OG0000292.93	OG0006965.6	OG0000975.0	OG0000675.1	OG0000012.918
1e-07	nan	1e-07	1e-07	0.00988241
OG0001921.0	OG0000011.1	OG0001303.26	OG0002176.0	OG0019378.0
1e-07	1e-07	1e-07	1e-07	nan
OG0000983.28	OG0001241.24	OG0000936.24	OG0000006.561	OG0014742.1
1e-07	1e-07	1e-07	0.00745715	nan
OG0001246.24	OG0020706.0	OG0000559.30	OG0000056.0	OG0000801.24
1e-07	nan	0.00534052	1e-07	0.0327092
OG0009046.12	OG0001357.24	OG0001328.24	OG0000006.561	OG0000901.0
nan	1e-07	1e-07	0.00745715	0.0180416
OG0000615.1	OG0001000.24	OG0001593.20	OG0014780.4	OG0000056.0
1e-07	1e-07	1e-07	nan	1e-07
OG0000002.1788	OG0001432.24	OG0001536.0	OG0002000.0	OG0016933.0
1e-07	1e-07	0.0139912	1e-07	nan
OG0000054.0	OG0000026.628	OG0000019.257	OG0001861.0	OG0016560.2
1e-07	1e-07	1e-07	1e-07	nan
OG0001486.1	OG0000010.475	OG0007934.0	OG0001830.6	OG0000925.1
1e-07	1e-07	nan	1e-07	0.015247899999999998
OG0001051.24	OG0000636.1	OG0000932.26	OG0000032.252	OG0007851.2
1e-07	0.0382416	1e-07	1e-07	nan
OG0001307.24	OG0013103.0	OG0000001.1420	OG0001245.24	OG0001346.24
1e-07	nan	1e-07	1e-07	1e-07
OG0000425.53	OG0014713.1	OG0000735.1	OG0001379.1	OG0000056.0
1e-07	nan	1e-07	1e-07	1e-07
OG0022029.0	OG0001815.3	OG0000018.289	OG0001111.22	OG0001883.0
nan	1e-07	1e-07	1e-07	1e-07
OG0000011.1	OG0007922.2	OG0000664.3	OG0001472.0	OG0000543.45
1e-07	nan	1e-07	1e-07	1e-07
OG0012745.4	OG0001212.24	OG0002043.0	OG0001040.1	OG0000032.252
nan	1e-07	1e-07	1e-07	1e-07
OG0001550.0	OG0007311.2	OG0001038.1	OG0002028.0	OG0000006.561
1e-07	nan	1e-07	1e-07	0.00745715
OG0014592.0	OG0001082.24	OG0000242.29	OG0000018.289	OG0001425.1
nan	1e-07	1e-07	1e-07	1e-07
OG0001366.26	OG0001418.30	OG0002053.0	OG0012936.4	OG0000082.1
